cnpj,razao_social,sigla_uf,cnae_secao,archetype,headcount,receita_point_brl,receita_pia_brl,convergencia_pct,confidence
30000985000116,EM-TEC INDUSTRIA METALURGICA LTDA,SP,C,labor_intensive_midcap,95,41330980.91990526,40004730.85,3.2088521500986884,alta
00909998000141,JWM SOLUCOES LOGISTICAS LTDA,SP,H,labor_intensive_midcap,169,41321607.00210174,36298575.43,12.155944399370178,alta
55484976000179,GRAMPOFIX INDUSTRIA E COMERCIO LTDA,SP,C,labor_intensive_midcap,54,41309834.70618992,35599356.9,13.82353099886468,alta
02666862000183,DOUPAN INDUSTRIA E COMERCIO DE PRODUTOS PARA PANIFICACAO LTDA,SP,C,labor_intensive_midcap,54,41309834.70618992,35599356.9,13.82353099886468,alta
68113158000101,VASTIN INDUSTRIA DE VALVULAS LTDA,SP,C,labor_intensive_midcap,54,41309834.70618992,35599356.9,13.82353099886468,alta
32074595000116,ALLIS INDUSTRIA DE SANEANTES LTDA,SP,C,capital_intensive,63,41308050.53419391,43158843.63,4.480465845934912,alta
47080044000132,BERNOBRE DISTRIBUIDORA LTDA,RJ,G,standard,18,41278992.296524055,32066373.419999998,22.317935501782628,alta
59284596000141,SQUADRONI PRODUTOS INDUSTRIAIS LIMITADA,SP,C,labor_intensive_midcap,91,41278396.87254383,34847493.589999996,15.579343602903634,alta
00329954000142,SALARINOX INDUSTRIA E COMERCIO DE CONEXOES LTDA,SP,C,labor_intensive_midcap,68,41251094.37997576,44428968.24,7.703732247081565,alta
11388359000102,C.V.A & DOIS IRMAOS IMPORTACAO E EXPORTACAO LTDA.,SP,G,standard,18,41192567.2098696,32066373.419999998,22.15495272089523,baixa
11693288000143,COMERCIAL PROGRESSIVE LTDA,SP,G,family_mature_sweet_spot,21,41186598.8030202,37410768.99,9.167617435658025,alta
68425628000172,NEOBAND SOLUCOES GRAFICAS LTDA,SP,C,standard,99,41159602.083175026,32755973.58,20.41717625499157,alta
